Nome;NomeArq;TipoImagem;Ratio;Categoria;Cliente;Data;Url;CategoriaCom;Descricao
Tem Querosene - Website;temQuerosene;gif;03/fev;Web;Pessoal;Jan 31, 2023;https://temquerosene.netlify.app/;WEB DESIGN;Este é um site dedicado à produção teatral 'Tem Querosene na Mochila', que ocorreu no palco de 'O Tablado' em janeiro de 2024. Desenvolvido com HTML5 puro, CSS e JavaScript, é uma página responsiva projetada para encapsular a essência rebelde do rock and roll. <br> Imagens dinâmicas, caracterizadas por movimentos fluidos e cores vibrantes e quentes, servem como uma homenagem visual à narrativa cheia de espírito da produção. Para simplificar o processo de criação do site, utilizei a biblioteca Flask junto com Python, permitindo automação. Posteriormente, a biblioteca Flask Frozen foi empregada para gerar uma coleção de arquivos estáticos, garantindo hospedagem sem problemas, sem a necessidade de software do lado do servidor.
Encontre Sua Música;find_music;png;;Web,Ciência de Dados;Pessoal;Out 17, 2022;https://github.com/leticiatavaresds/Banco-de-Dados-Spotify;DATABASE, DATA WAREHOUSE, MACHINE LEARNING & WEB DESIGN;Construção e implementação de um banco de dados relacional com dados musicais para o desenvolvimento de uma aplicação web.
ENADE Análises em 2017, 2018 e 2019;m-enade;png;;Ciência de Dados;Pessoal;Out 14, 2022;https://github.com/leticiatavaresds/Projeto_ENADE;DATA WAREHOUSE, DATA ANALYTICS & MACHINE LEARNING;Neste projeto, utilizei a linguagem Python em conjunto com SQLite para construir um Data Warehouse para Microdados do ENADE dos anos de 2017, 2018 e 2019, e realizei análise de dados seguida por um modelo de previsão.
Mago Sossegado - UX Use Case;Mago_Sossegado;png;;Web;Pessoal;Out 6, 2021;https://luizedu-sperez.medium.com/mago-sossegado-do-estado-de-ansiedade-e-estresse-a-organiza%C3%A7%C3%A3o-e-paz-ff38844b2314;WEB DESIGN;Estudo de caso de Design de Experiência do Usuário centrado em um aplicativo destinado a auxiliar profissionais de TI a viverem vidas menos ansiosas. Realizado por uma equipe composta por Eduardo Leão, José Victor, Letícia Tavares e Luiz Eduardo.
Mago Sossegado - Prototype;Mago_sossegado_figma;png;;Web;Pessoal;Out 6, 2022;https://www.figma.com/proto/MLNqVLOUNyZsgtJxMiHOUu/App?page-id=0%3A1&node-id=51-373&viewport=241%2C48%2C0.47&scaling=scale-down&starting-point-node-id=51%3A373&show-proto-sidebar=1;WEB DESIGN;Protótipo de um aplicativo móvel, focado em ajudar profissionais de TI a viverem com menos ansiedade, desenvolvido no estudo de caso de Design de Experiência do Usuário realizado por uma equipe composta por Eduardo Leão, José Victor, Letícia Tavares e Luiz Eduardo.
