Instituto;Curso;Tempo;Link;Ordem;Texto;;
PIC - CNPQ;Estudante;2011 - 2014;https://www.obmep.org.br/pic.htm;1;Participei por 4 anos seguidos no programa que tem como objetivo proporcionar ao aluno premiado em cada edição da OBMEP o contato com questões no ramo da Matemática, ampliando seu conhecimento científico e preparando para um futuro desempenho profissional e acadêmico.;;
PICME - CNPQ;Pesquisadora;Janeiro 2020 - Dezembro 2020;https://picme.obmep.org.br/;2;Programa onde tive a oportunidade de realizar estudos avançados em Matemática simultaneamente com a graduação. O tema escolhido foi o estudo de modelos matemáticos iniciais sobre dinâmica da doença respiratória aguda 2019-nCoV (COVID19).;;   
COPPEAD-UFRJ;Cientista de Dados;Agosto 2022 - Abril 2023;https://www.coppead.ufrj.br/study-center-business-analytics-and-economics-bae-research-unit/;3;Desenvolvi ferramentas de Web Scraping utilizando a linguagem R para reunir grande volume de dados constituídos por avaliações de cursos da CAPES, disponíveis na plataforma Sucupira, e preparei dados para construção de modelo de machine learning visando melhorar a avaliação dos cursos. Dessa forma, participei ativamente do criação de um banco de dados robusto destinado a armazenar e organizar as avaliações coletadas na UFRJ.;;
