Instituto;Curso;Tempo;Link;Ordem;Texto
IFF;Técnico em Edificações;Março 2014 - Dezembro 2016;https://portal1.iff.edu.br/;1;Embora não tenha seguido uma carreira na construção, o curso me proporcionou uma base matemática sólida antes de iniciar meus estudos universitários. Além disso, ofereceu valiosa experiência prática em diversos ambientes profissionais, como empresas, escritórios e laboratórios. Essas experiências abrangeram habilidades organizacionais, planejamento estratégico e interação com clientes, o que contribuiu significativamente para o desenvolvimento do meu conjunto de habilidades.
UFRJ;Bacharelado em Ciência da Computação;Julho 2019 - Presente;https://ufrj.br/;2;Aatualmente cursando Ciência da Computação na Universidade Federal do Rio de Janeiro (UFRJ). Durante este curso, estou imersa no aprendizado sobre o desenvolvimento de novas tecnologias de maneira ética e responsável, mantendo-me alinhada com as tendências globais mais relevantes. Adquiri uma ampla gama de competências que me capacitam a desempenhar diversas atividades, com um foco específico na área de ciência de dados. Estou preparada para seguir carreiras como analista de dados, cientista de dados, engenheira de IA, Machine Learning, entre outras possibilidades emocionantes.
