Empresa;Emprego;Tempo;Link;Ordem;EmpregoPt;TempoPt
Visagio;Data Engineer;July 2020 - July 2021;https://visagio.com/;1;Engenheira de Dados - Estagiária;Julho 2020 - Julho 2021
IBM;Early Associate Data Scientist;July 2021 - December 2022;https://www.ibm.com/;2;Cientista de Dados - Estagiária;Julho 2021 - Dezembro 2022
IBM;Data Scientist;December 2022 - January 2024;https://www.ibm.com/;3;Cientista de Dados;Dezembro 2022 - Janeiro 2024
Globo;Special Effects Solutions Analyst;October 2024 - Now;https://www.globo.com/;4;Analista de Soluções para Efeitos Especiais;Outubro 2024 - Atualmente
