Instituto;Curso;Tempo;Link;Ordem;Texto;CursoPt;TempoPt;TextoPt
PIC - CNPQ;Student;2011 - 2014;https://www.obmep.org.br/pic.htm;1;I participated for 4 consecutive years in the program that aims to provide the student awarded in each edition of OBMEP the contact with issues in the field of Mathematics, expanding their scientific knowledge and preparing them for future professional and academic performance.;Estudante ;2011 - 2014;Participei por 4 anos seguidos no programa que tem como objetivo proporcionar ao aluno premiado em cada edição da OBMEP o contato com questões no ramo da Matemática, ampliando seu conhecimento científico e preparando para um futuro desempenho profissional e acadêmico.
PICME - CNPQ;Researcher;January 2020 - December 2020;https://picme.obmep.org.br/;2;Program where I had the opportunity to carry out advanced studies in Mathematics simultaneously with my undergraduate degree. The chosen topic was the study of initial mathematical models on the dynamics of the acute respiratory disease 2019-nCoV (COVID19).;Pesquisadora;Janeiro 2020 - Dezembro 2020;Programa onde tive a oportunidade de realizar estudos avançados em Matemática simultaneamente com a graduação. O tema escolhido foi o estudo de modelos matemáticos iniciais sobre dinâmica da doença respiratória aguda 2019-nCoV (COVID19).
COPPEAD-UFRJ;Data Scientist;August 2022 - April 2023;https://www.coppead.ufrj.br/study-center-business-analytics-and-economics-bae-research-unit/;3;Developed web scraping tools using the R language to gather a large volume of data consisting of CAPES course evaluations, available on the Sucupira platform, and prepared data for building a machine learning model to improve course evaluation. In this way, I actively participated in the creation of a robust database designed to store and organize the assessments collected at UFRJ.;Cientista de Dados;Agosto 2022 - Abril 2023;Desenvolvi ferramentas de Web Scraping utilizando a linguagem R para reunir grande volume de dados constituídos por avaliações de cursos da CAPES, disponíveis na plataforma Sucupira, e preparei dados para construção de modelo de machine learning visando melhorar a avaliação dos cursos. Dessa forma, participei ativamente do criação de um banco de dados robusto destinado a armazenar e organizar as avaliações coletadas na UFRJ.
