Nome;NomePt;NomeArq;TipoImagem;Ratio;Categoria;CategoriaPt;Cliente;ClientePt;Data;DataPt;Url;CategoriaCom;CategoriaComPt;Descricao;DescricaoPt
Tem Querosene - Website;Tem Querosene - Website;temQuerosene;gif;03/fev;Web;Web;Personal;Pessoal;Jan 31, 2023;Jan 31, 2023;https://temquerosene.netlify.app/;WEB DESIGN;WEB DESIGN;"This is a website dedicated to the theatrical production ""Tem Querosene na Mochila"", which took place on the stage of ""O Tablado"" in January 2024. Crafted with pure HTML5, CSS, and JavaScript, it is a responsive webpage designed to encapsulate the rebellious essence of rock and roll. <br> Dynamic imagery, characterized by fluid movements and vibrant warm colors, serves as a visual homage to the production's spirited narrative. To streamline the website's creation process, I utilized the Flask library alongside Python, enabling automation. Subsequently, the Flask Frozen library was employed to generate a collection of static files, ensuring seamless hosting without the need for server-side software.";Este é um site dedicado à produção teatral 'Tem Querosene na Mochila', que ocorreu no palco de 'O Tablado' em janeiro de 2024. Desenvolvido com HTML5 puro, CSS e JavaScript, é uma página responsiva projetada para encapsular a essência rebelde do rock and roll. <br> Imagens dinâmicas, caracterizadas por movimentos fluidos e cores vibrantes e quentes, servem como uma homenagem visual à narrativa cheia de espírito da produção. Para simplificar o processo de criação do site, utilizei a biblioteca Flask junto com Python, permitindo automação. Posteriormente, a biblioteca Flask Frozen foi empregada para gerar uma coleção de arquivos estáticos, garantindo hospedagem sem problemas, sem a necessidade de software do lado do servidor.
Find Your Music;Encontre Sua Música;find_music;png;;Web,Data Science;Web,Ciência de Dados;Personal;Pessoal;Oct 17, 2022;Out 17, 2022;https://github.com/leticiatavaresds/Banco-de-Dados-Spotify;DATABASE, DATA WAREHOUSE, MACHINE LEARNING & WEB DESIGN;DATABASE, DATA WAREHOUSE, MACHINE LEARNING & WEB DESIGN;Construction and implementation of a relational database with music data for the development of a Web application.;Construção e implementação de um banco de dados relacional com dados musicais para o desenvolvimento de uma aplicação web.
ENADE Analysis in 2017, 2018 and 2019;ENADE Análises em 2017, 2018 e 2019;m-enade;png;;Data Science;Ciência de Dados;Personal;Pessoal;Oct 14, 2022;Out 14, 2022;https://github.com/leticiatavaresds/Projeto_ENADE;DATA WAREHOUSE, DATA ANALYTICS & MACHINE LEARNING;DATA WAREHOUSE, DATA ANALYTICS & MACHINE LEARNING;In this project, I use the Python language combined with SQLite to build a Date Warehouse for ENADE Microdata from the years 2017, 2018 and 2019 and perform data analysis followed by a prediction model.;Neste projeto, utilizei a linguagem Python em conjunto com SQLite para construir um Data Warehouse para Microdados do ENADE dos anos de 2017, 2018 e 2019, e realizei análise de dados seguida por um modelo de previsão.
Mago Sossegado - UX Use Case;Mago Sossegado - UX Caso de Uso;Mago_Sossegado;png;;Web;Web;Personal;Pessoal;Oct 6, 2021;Out 6, 2021;https://luizedu-sperez.medium.com/mago-sossegado-do-estado-de-ansiedade-e-estresse-a-organiza%C3%A7%C3%A3o-e-paz-ff38844b2314;WEB DESIGN;WEB DESIGN;UX Design case study focused on an application focused on helping IT professionals live less anxious lives. Carried out by a team composed of Eduardo Leão, José Victor, Letícia Tavares and Luiz Eduardo.;Estudo de caso de Design de Experiência do Usuário centrado em um aplicativo destinado a auxiliar profissionais de TI a viverem vidas menos ansiosas. Realizado por uma equipe composta por Eduardo Leão, José Victor, Letícia Tavares e Luiz Eduardo.
Mago Sossegado - Prototype;Mago Sossegado - Protótipo;Mago_sossegado_figma;png;;Web;Web;Personal;Pessoal;Oct 6, 2022;Out 6, 2022;https://www.figma.com/proto/MLNqVLOUNyZsgtJxMiHOUu/App?page-id=0%3A1&node-id=51-373&viewport=241%2C48%2C0.47&scaling=scale-down&starting-point-node-id=51%3A373&show-proto-sidebar=1;WEB DESIGN;WEB DESIGN;Prototype of a mobile application, focused on helping IT professionals to live less anxious, developed in the UX Design case study carried out by a team composed of Eduardo Leão, José Victor, Letícia Tavares and Luiz Eduardo.;Protótipo de um aplicativo móvel, focado em ajudar profissionais de TI a viverem com menos ansiedade, desenvolvido no estudo de caso de Design de Experiência do Usuário realizado por uma equipe composta por Eduardo Leão, José Victor, Letícia Tavares e Luiz Eduardo.
